source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05864.01,35.9216912,221.3,1.38,0.829,5.6,148.93441,CANDIDATE,KEPLER,CANDIDATE,0
K05865.01,35.8726918,916.3,62.51,8.838689999999987,24.6,131.5668,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05866.01,102.300622,781.2,35.36,8.838689999999987,13.0,208.6092,CANDIDATE,KEPLER,CANDIDATE,0
K05867.01,359.8455,503.9,14.76,6.632,12.3,210.5057,CANDIDATE,KEPLER,CANDIDATE,0
K05868.01,22.7783121,155.6,1.89,1.477,7.3,145.96798,CANDIDATE,KEPLER,CANDIDATE,0
K05869.01,114.406187,1306.0,2.42,0.691,11.4,225.7127,CANDIDATE,KEPLER,CANDIDATE,0
K05870.01,132.114,216.8,0.75,0.523,5.7,238.008,CANDIDATE,KEPLER,CANDIDATE,0
K05871.01,551.134255,602.8,2.04,0.839,15.8,274.3089,CANDIDATE,KEPLER,CANDIDATE,0
K05872.01,46.16051579,,,,,137.0802908,CANDIDATE,KEPLER,CANDIDATE,0
K05873.01,217.170081,937.0,179.36239999999793,8.838689999999987,9.5,229.9068,CANDIDATE,KEPLER,CANDIDATE,0
K05874.01,287.33114,406.7,2.07,1.007,19.7,360.8412,CANDIDATE,KEPLER,CANDIDATE,0
K05875.01,9.8788502,454.7,2.64,1.148,13.4,134.3829,CONFIRMED,KEPLER,CONFIRMED,1
K05876.01,189.456089,453.0,2.2,1.026,5.4,233.6331,CANDIDATE,KEPLER,CANDIDATE,0
K05877.01,230.358183,1023.0,2.87,0.884,6.2,233.7677,CANDIDATE,KEPLER,CANDIDATE,0
K05878.01,211.54114,751.0,1.88,0.689,5.3,236.2702,CANDIDATE,KEPLER,CANDIDATE,0
K05879.01,88.523517,828.0,1.6,0.462,7.7,189.2756,CANDIDATE,KEPLER,CANDIDATE,0
K05880.01,386.22400908,,,,,506.1610851,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05881.01,134.35872,75.2,1.27,1.433,16.5,201.2636,CANDIDATE,KEPLER,CANDIDATE,0
K05882.01,55.01469183,,,,,156.7945344,CANDIDATE,KEPLER,CANDIDATE,0
K05883.01,198.781156,138.3,1.69,1.424,10.3,284.3868,CANDIDATE,KEPLER,CANDIDATE,0
K05884.01,551.134255,322.1,1.52,0.849,7.4,246.525,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05885.01,111.149082,394.2,1.87,0.948,5.9,193.6316,CANDIDATE,KEPLER,CANDIDATE,0
